Phrasal Verb,Definition,Source
ask out,to invite someone on a romantic date,Built-in
back down,to withdraw from a position or argument,Built-in
back up,to support someone; to make a copy of data,Built-in
blow up,to explode; to become very angry,Built-in
break away,to escape or leave a group suddenly,Built-in
break down,to stop functioning; to lose emotional control,Built-in
break into,to enter a place by force; to start doing suddenly,Built-in
break off,to end something suddenly,Built-in
break out,to escape; to begin suddenly,Built-in
break up,to end a relationship; to separate into pieces,Built-in
bring about,to cause something to happen,Built-in
bring back,to return something; to remind of the past,Built-in
bring forward,to move an event to an earlier time,Built-in
bring up,to mention a topic; to raise a child,Built-in
burn out,to exhaust oneself through overwork,Built-in
call back,to return a phone call,Built-in
call off,to cancel something that was planned,Built-in
call up,to telephone someone,Built-in
calm down,to become less agitated or upset,Built-in
carry on,to continue doing something,Built-in
catch on,to understand; to become popular,Built-in
catch up,to reach the same level as others,Built-in
check in,to register at a hotel or airport,Built-in
check out,to leave a hotel; to examine something closely,Built-in
clean up,to tidy a place,Built-in
clear out,to empty a space of its contents,Built-in
close down,to cease operation permanently,Built-in
come across,to find or meet someone by chance,Built-in
come back,to return to a place,Built-in
come down,to decrease; to travel south,Built-in
come in,to enter a place; to arrive,Built-in
come out,to be published; to reveal one's identity,Built-in
come up with,to think of an idea or plan,Built-in
count on,to rely on someone or something,Built-in
cross out,to draw a line through something to cancel it,Built-in
cut back,to reduce spending or consumption,Built-in
cut down,to reduce the amount of something; to fell a tree,Built-in
cut off,to stop abruptly; to interrupt someone,Built-in
cut out,to stop doing something; to remove by cutting,Built-in
deal with,to handle or take action about something,Built-in
die out,to become extinct or gradually disappear,Built-in
do away with,to abolish or eliminate something,Built-in
do up,to fasten clothing; to renovate a building,Built-in
draw up,to prepare a formal document,Built-in
drop out,to leave school or a course before finishing,Built-in
eat out,to have a meal in a restaurant,Built-in
end up,to reach a final state or place unexpectedly,Built-in
face up to,to accept and deal with something difficult,Built-in
fall apart,to break into pieces; to fail completely,Built-in
fall behind,to fail to keep pace with others,Built-in
fall out,to quarrel with someone; to have a disagreement,Built-in
feel up to,to feel capable of doing something,Built-in
figure out,to understand or find a solution to something,Built-in
fill in,to complete a form; to substitute for someone,Built-in
find out,to discover or learn new information,Built-in
get across,to communicate an idea successfully,Built-in
get ahead,to make progress or succeed in life,Built-in
get along,to have a good relationship with someone,Built-in
get away,to escape; to go on a short holiday,Built-in
get back,to return to a place; to recover something,Built-in
get by,to manage with limited money or resources,Built-in
get down,to depress someone; to descend from something,Built-in
get in,to enter a vehicle or building; to arrive,Built-in
get off,to leave a vehicle; to avoid punishment,Built-in
get on,to board a vehicle; to make progress; to have a good relationship,Built-in
get out,to leave a place; to escape,Built-in
get over,to recover from an illness or disappointment,Built-in
get through,to finish a task; to make contact with someone,Built-in
get up,to rise from bed; to stand up,Built-in
give away,to give something for free; to reveal a secret,Built-in
give back,to return something to its owner,Built-in
give in,to stop resisting; to surrender,Built-in
give out,to distribute to a group; to run out of energy,Built-in
give up,to stop trying; to quit something,Built-in
go ahead,to proceed with a plan or action,Built-in
go back,to return to a place or previous topic,Built-in
go down,to decrease; to be remembered in history,Built-in
go off,to explode; to ring an alarm; to go bad,Built-in
go on,to continue; to happen or take place,Built-in
go out,to leave the house to socialise; to be extinguished,Built-in
go over,to review or examine something carefully,Built-in
